Profile 1;Profile 1;
x;y;
[m<sup>-1</sup>];[u];
0;2.0324758e-015;
65.235862;2.2118679e-015;
130.47172;1.673395e-015;
195.70759;1.1883454e-015;
260.94345;1.4515956e-015;
326.17931;1.4869424e-015;
391.41517;1.6203467e-015;
456.65103;1.7809474e-015;
521.88689;1.7809528e-015;
587.12276;1.7412285e-015;
652.35862;1.7370288e-015;
717.59448;1.756881e-015;
782.83034;1.5480672e-015;
848.0662;2.1963444e-015;
913.30206;2.4317174e-015;
978.53793;4.2981914e-015;
1043.7738;5.4360579e-015;
1109.0096;3.4474784e-015;
1174.2455;2.3892073e-015;
1239.4814;2.5632916e-015;
1304.7172;3.075051e-015;
1369.9531;3.0897665e-015;
1435.189;3.3897858e-015;
1500.4248;3.2042298e-015;
1565.6607;3.0259583e-015;
1630.8965;4.5980221e-015;
1696.1324;4.5583206e-015;
1761.3683;2.9534776e-015;
1826.6041;3.2710307e-015;
1891.84;5.0177875e-015;
1957.0759;2.3022391e-014;
2022.3117;2.8097879e-014;
2087.5476;2.3089342e-014;
2152.7834;5.0666005e-015;
2218.0193;3.3074221e-015;
2283.2552;2.9756698e-015;
2348.491;4.5475627e-015;
2413.7269;4.594808e-015;
2478.9627;3.0047925e-015;
2544.1986;3.1394569e-015;
2609.4345;3.3475836e-015;
2674.6703;3.0916999e-015;
2739.9062;3.0979317e-015;
2805.1421;2.5392249e-015;
2870.3779;2.341155e-015;
2935.6138;3.4507429e-015;
3000.8496;5.4134637e-015;
3066.0855;4.2082054e-015;
3131.3214;2.3481179e-015;
3196.5572;2.1342458e-015;
3261.7931;1.4763769e-015;
3327.0289;1.7651003e-015;
3392.2648;1.7609237e-015;
3457.5007;1.7647351e-015;
3522.7365;1.7669057e-015;
3587.9724;1.7440833e-015;
3653.2083;1.518063e-015;
3718.4441;1.3851515e-015;
3783.68;1.4240895e-015;
3848.9158;1.2377365e-015;
3914.1517;1.6901503e-015;
