Profile 1;Profile 1;
x;y;
[m<sup>-1</sup>];[m];
0;1.1716709e-009;
74.99095;1.2651866e-009;
149.9819;1.4837904e-009;
224.97285;1.5883831e-009;
299.9638;1.4924244e-009;
374.95475;1.5343657e-009;
449.9457;1.6372323e-009;
524.93665;1.4813914e-009;
599.9276;1.3460466e-009;
674.91855;1.4443547e-009;
749.9095;1.8522926e-009;
824.90045;2.5011942e-009;
899.8914;2.502167e-009;
974.88235;1.7759564e-009;
1049.8733;1.5902861e-009;
1124.8642;1.7921845e-009;
1199.8552;2.2572173e-009;
1274.8461;2.5605812e-009;
1349.8371;2.4262537e-009;
1424.828;2.2932024e-009;
1499.819;2.2591578e-009;
1574.8099;1.9278209e-009;
1649.8009;1.8663888e-009;
1724.7918;2.4266468e-009;
1799.7828;4.4725968e-009;
1874.7737;6.2970431e-009;
1949.7647;4.9117448e-009;
2024.7556;3.1501711e-009;
2099.7466;3.1412052e-009;
2174.7375;3.6788983e-009;
2249.7285;4.8222417e-009;
2324.7194;5.055239e-009;
2399.7104;5.5126693e-009;
2474.7013;7.4948949e-009;
2549.6923;7.5369063e-009;
2624.6832;6.8442594e-009;
2699.6742;8.5028164e-009;
2774.6651;1.4589389e-008;
2849.6561;2.0179114e-008;
2924.647;2.048126e-008;
2999.638;1.5340951e-008;
3074.6289;8.7787059e-009;
3149.6199;6.7219636e-009;
3224.6108;7.4295855e-009;
3299.6018;7.6241926e-009;
3374.5927;5.6626874e-009;
3449.5837;4.9860451e-009;
3524.5746;4.8898829e-009;
3599.5656;3.7849796e-009;
3674.5565;3.2819986e-009;
3749.5475;3.2485195e-009;
3824.5384;4.7288406e-009;
3899.5294;6.3756833e-009;
3974.5203;4.8243992e-009;
4049.5113;2.5544355e-009;
4124.5022;1.88764e-009;
4199.4932;1.9312271e-009;
4274.4841;2.2399555e-009;
4349.4751;2.2796999e-009;
4424.466;2.3545745e-009;
4499.457;2.4853926e-009;
4574.4479;2.2807734e-009;
4649.4389;1.8353124e-009;
4724.4298;1.5688684e-009;
4799.4208;1.7589309e-009;
4874.4117;2.4554086e-009;
4949.4027;2.564488e-009;
5024.3936;1.9120377e-009;
5099.3846;1.4927435e-009;
5174.3755;1.3789886e-009;
5249.3665;1.4556591e-009;
5324.3574;1.6154198e-009;
5399.3484;1.543189e-009;
5474.3393;1.4868199e-009;
5549.3303;1.5490105e-009;
5624.3212;1.5675221e-009;
5699.3122;1.3360694e-009;
5774.3031;1.1640684e-009;
5849.2941;1.3214666e-009;
5924.285;1.6238999e-009;
