Profile 1;Profile 1;
x;y;
[m<sup>-1</sup>];[m];
0;3.5620824e-009;
90.495123;3.3639919e-009;
180.99025;3.3831573e-009;
271.48537;3.6530932e-009;
361.98049;4.0689733e-009;
452.47561;4.578097e-009;
542.97074;5.1770589e-009;
633.46586;5.0870654e-009;
723.96098;5.081926e-009;
814.45611;5.1660574e-009;
904.95123;5.6407792e-009;
995.44635;6.4930485e-009;
1085.9415;6.5436749e-009;
1176.4366;6.3737942e-009;
1266.9317;6.1833872e-009;
1357.4268;6.2485178e-009;
1447.922;6.4600038e-009;
1538.4171;8.2575698e-009;
1628.9122;9.0980442e-009;
1719.4073;8.2116804e-009;
1809.9025;8.7299877e-009;
1900.3976;8.9375325e-009;
1990.8927;1.2771873e-008;
2081.3878;1.5041734e-008;
2171.8829;1.2623693e-008;
2262.3781;9.4443632e-009;
2352.8732;9.8613291e-009;
2443.3683;1.2301785e-008;
2533.8634;1.214138e-008;
2624.3586;1.3707557e-008;
2714.8537;1.4239234e-008;
2805.3488;1.432901e-008;
2895.8439;2.2996012e-008;
2986.3391;3.1263737e-008;
3076.8342;2.9145922e-008;
3167.3293;1.8398972e-008;
3257.8244;1.3808229e-008;
3348.3195;1.4347457e-008;
3438.8147;1.2962342e-008;
3529.3098;1.2299407e-008;
3619.8049;1.1527637e-008;
3710.3;9.1393188e-009;
3800.7952;1.0499069e-008;
3891.2903;1.4101316e-008;
3981.7854;1.4713761e-008;
4072.2805;1.0844473e-008;
4162.7757;8.8698985e-009;
4253.2708;8.4881382e-009;
4343.7659;8.4516939e-009;
4434.261;9.131961e-009;
4524.7561;7.3965191e-009;
4615.2513;6.2945444e-009;
4705.7464;6.1716633e-009;
4796.2415;6.2203024e-009;
4886.7366;6.4163665e-009;
4977.2318;6.5697131e-009;
5067.7269;6.2315331e-009;
5158.222;5.2760792e-009;
5248.7171;5.1164505e-009;
5339.2123;4.9868682e-009;
5429.7074;5.1134069e-009;
5520.2025;4.9600516e-009;
5610.6976;4.2846112e-009;
5701.1927;3.9033046e-009;
5791.6879;3.496977e-009;
5882.183;3.3266472e-009;
5972.6781;3.4706145e-009;
6063.1732;3.5417932e-009;
